#,Company,Symbol,Weight,Price,Change
411,Lamb Weston Holdings Inc.,LW,0.042675,68.19,-1.32
412,Hasbro Inc.,HAS,0.042636,86.72,0.0
413,United Rentals Inc.,URI,0.042481,120.13,-0.01
414,Mosaic Company,MOS,0.042426,28.38,-0.33
415,Garmin Ltd.,GRMN,0.042342,83.25,0.0
416,Viacom Inc. Class B,VIAB,0.042215,27.99,0.0
417,WestRock Company,WRK,0.042135,37.55,0.0
418,Franklin Resources Inc.,BEN,0.041954,33.32,0.0
419,Iron Mountain Inc.,IRM,0.041946,34.94,0.01
420,TechnipFMC Plc,FTI,0.04189,22.91,0.13
421,CF Industries Holdings Inc.,CF,0.041831,43.05,0.0
422,Westinghouse Air Brake Technologies Corporation,WAB,0.041199,71.49,0.37
423,Nielsen Holdings Plc,NLSN,0.041076,26.95,0.0
424,Federal Realty Investment Trust,FRT,0.040953,132.68,0.0
425,Nasdaq Inc.,NDAQ,0.040734,83.2,-0.35
426,Avery Dennison Corporation,AVY,0.040267,110.21,0.0
427,Zions Bancorporation N.A.,ZION,0.040218,49.16,0.0
428,Tapestry Inc.,TPR,0.039935,32.25,0.05
429,Discovery Inc. Class C,DISCK,0.039687,25.9,0.0
430,F5 Networks Inc.,FFIV,0.039283,153.69,0.0
431,Juniper Networks Inc.,JNPR,0.039114,26.84,0.0
432,Packaging Corporation of America,PKG,0.03908,98.75,2.57
433,Albemarle Corporation,ALB,0.038751,85.42,0.0
434,Henry Schein Inc.,HSIC,0.038072,59.29,0.0
435,J.B. Hunt Transport Services Inc.,JBHT,0.037873,103.3,0.0
436,Huntington Ingalls Industries Inc.,HII,0.037794,204.41,0.0
437,Everest Re Group Ltd.,RE,0.03775,219.05,0.0
438,Whirlpool Corporation,WHR,0.03766,134.0,0.82
439,LKQ Corporation,LKQ,0.037414,27.86,0.0
440,Snap-on Incorporated,SNA,0.037313,155.68,0.0
441,Jacobs Engineering Group Inc.,JEC,0.036589,73.81,0.0
442,PVH Corp.,PVH,0.036458,110.51,0.0
443,Interpublic Group of Companies Inc.,IPG,0.036236,22.34,0.0
444,Torchmark Corporation,TMK,0.036167,83.11,0.0
445,Qorvo Inc.,QRVO,0.036082,69.66,0.0
446,HollyFrontier Corporation,HFC,0.035659,52.2,0.0
447,Allegion PLC,ALLE,0.035571,88.41,0.0
448,Brown-Forman Corporation Class B,BF.B,0.035521,50.19,-0.51
449,Mohawk Industries Inc.,MHK,0.034403,128.57,0.0
450,Arconic Inc.,ARNC,0.03436,18.99,0.0
451,Western Union Company,WU,0.034284,18.35,0.0
452,Alliance Data Systems Corporation,ADS,0.033926,172.41,0.0
